RiskGroup,Count,Sum_Osbal_Resignation,Sum_Osbal_Bads_Today,Bad_Rate_Pct,Outstanding_Bad_Rate,ModelVersion,Period,Segment_Order,RunMonth
A,106,2030401.4309999999,1055800.742,54.7,52.0,OOP v1.0 Prod,Jul 2025,1,2026-03
B,742,13173923.620000001,8358160.402,61.7,63.4,OOP v1.0 Prod,Jul 2025,2,2026-03
C,1013,17653827.402,10613378.166,68.9,60.1,OOP v1.0 Prod,Jul 2025,3,2026-03
D,833,13267664.234,10116119.332,79.7,76.2,OOP v1.0 Prod,Jul 2025,4,2026-03
E,340,4879376.247,3835380.955,82.1,78.6,OOP v1.0 Prod,Jul 2025,5,2026-03
F,280,3193515.428,2632242.475,86.4,82.4,OOP v1.0 Prod,Jul 2025,6,2026-03
A,222,3939636.941,1862716.249,47.7,47.3,OOP v2.0 BS,Jul 2025,1,2026-03
B,686,12883520.43,8220339.82,64.7,63.8,OOP v2.0 BS,Jul 2025,2,2026-03
C,241,4966692.059,3548013.304,68.0,71.4,OOP v2.0 BS,Jul 2025,3,2026-03
D,138,2335651.766,1478179.663,71.0,63.3,OOP v2.0 BS,Jul 2025,4,2026-03
E,64,814028.177,572179.831,67.2,70.3,OOP v2.0 BS,Jul 2025,5,2026-03
F,964,13505863.194,10650520.969,81.5,78.9,OOP v2.0 BS,Jul 2025,6,2026-03
